iter	RMSE
0	8.511232961
1	8.174116337
2	7.868239768
3	7.594963532
4	7.340037339
5	7.117739901
6	6.904797643
7	6.714979756
8	6.541244005
9	6.375990508
10	6.228949808
11	6.107497302
12	5.987817286
13	5.881426297
14	5.778259264
15	5.687696247
16	5.6075701
17	5.53869301
18	5.472278068
19	5.408331197
20	5.351639501
21	5.299679083
22	5.252485273
23	5.21395267
24	5.17815832
25	5.143101833
26	5.11182257
27	5.083588577
28	5.05735169
29	5.031622921
30	5.008300797
31	4.985873172
32	4.964392458
33	4.946509695
34	4.92672949
35	4.90792231
36	4.894694099
37	4.877732342
38	4.862737505
39	4.853000564
40	4.840666238
41	4.828348999
42	4.818173423
43	4.810197401
44	4.802213719
45	4.793870474
46	4.785811702
47	4.7788969
48	4.772729058
49	4.767439824
50	4.762317545
51	4.756138742
52	4.750527845
53	4.745127347
54	4.739919536
55	4.735644526
56	4.731947796
57	4.726912672
58	4.723020522
59	4.719584018
60	4.715637234
61	4.710208009
62	4.706986008
63	4.70395188
64	4.701437824
65	4.698443294
66	4.695084168
67	4.691440452
68	4.68797788
69	4.684915167
70	4.680211842
71	4.675757487
72	4.67239594
73	4.669380797
74	4.666724228
75	4.663990306
76	4.662453124
77	4.660290198
78	4.658819903
79	4.656644086
80	4.653661005
81	4.650437033
82	4.648648741
83	4.645950693
84	4.643784572
85	4.641222445
86	4.639279813
87	4.637119771
88	4.635422555
89	4.633437446
90	4.632422837
91	4.630906131
92	4.628276426
93	4.626628222
94	4.625223089
95	4.623340984
96	4.621458262
97	4.619614765
98	4.618394842
99	4.616244738
100	4.614492244
101	4.612819627
102	4.611284672
103	4.609397877
104	4.608144945
105	4.606021747
106	4.604118483
107	4.603086858
108	4.601770786
109	4.600666695
110	4.599303445
111	4.59731566
112	4.596071244
113	4.594472106
114	4.592869671
115	4.59135298
116	4.589752045
117	4.588846615
118	4.587525835
119	4.586220838
120	4.58520673
121	4.583769136
122	4.581973201
123	4.58023818
124	4.579607596
125	4.578575602
126	4.577850284
127	4.576702435
128	4.575737903
129	4.574423696
130	4.573049887
131	4.571502428
132	4.570417099
133	4.569160677
134	4.568021775
135	4.566637827
136	4.564100102
137	4.563227216
138	4.562176051
139	4.561364464
140	4.559979704
141	4.559051595
142	4.557419942
143	4.55517937
144	4.554436236
145	4.552838948
146	4.552144261
147	4.550599095
148	4.550031533
149	4.548986747
150	4.547454676
151	4.546500607
152	4.544965124
153	4.543597808
154	4.542382291
155	4.541471943
156	4.539921624
157	4.538626006
158	4.537670194
159	4.536561927
160	4.535519247
161	4.534501357
162	4.533213743
163	4.532360495
164	4.531417616
165	4.530897653
166	4.529645223
167	4.528985697
168	4.528019472
169	4.526771432
170	4.526139321
171	4.525404067
172	4.52408574
173	4.522355543
174	4.521435892
175	4.519791889
176	4.518166291
177	4.516920335
178	4.516238698
179	4.516031706
180	4.515050956
181	4.514189958
182	4.513648241
183	4.512504873
184	4.51203312
185	4.510316354
186	4.509052046
187	4.508428574
188	4.506484895
189	4.505900826
190	4.505064689
191	4.503878837
192	4.502071767
193	4.501063783
194	4.500266804
195	4.499183564
196	4.498165617
197	4.497168633
198	4.496515567
199	4.495857193
200	4.494892589
201	4.493355148
202	4.492286001
203	4.491446575
204	4.490497902
205	4.489555903
206	4.487791122
207	4.486511059
208	4.485929963
209	4.484375925
210	4.483580677
211	4.483217166
212	4.482686591
213	4.481493169
214	4.480669562
215	4.479867135
216	4.478370486
217	4.477594221
218	4.476574053
219	4.475964107
220	4.474865189
221	4.473934658
222	4.473496031
223	4.472247112
224	4.471675493
225	4.470860272
226	4.470131321
227	4.469343262
228	4.46845099
229	4.468142574
230	4.466837566
231	4.465341605
232	4.464851074
233	4.46437972
234	4.463705907
235	4.463581191
236	4.46265135
237	4.461504917
238	4.460798005
239	4.45925606
240	4.459023234
241	4.458049072
242	4.457371798
243	4.456271779
244	4.455604898
245	4.454875306
246	4.453462678
247	4.452608736
248	4.452402423
249	4.451170564
250	4.450978138
251	4.450239592
252	4.448791078
253	4.448375101
254	4.446971921
255	4.44578572
256	4.444941997
257	4.444162811
258	4.443185863
259	4.442852979
260	4.4418468
261	4.441044771
262	4.439986795
263	4.439506222
