iter	Passed	Remaining
0	4	4008
1	7	3854
2	11	3672
3	14	3593
4	16	3377
5	19	3231
6	22	3197
7	25	3129
8	28	3086
9	30	3047
10	33	3004
11	36	2987
12	38	2959
13	41	2941
14	44	2917
15	47	2893
16	49	2888
17	52	2872
18	55	2854
19	57	2837
20	60	2834
21	63	2828
22	66	2829
23	69	2814
24	71	2803
25	74	2794
26	77	2784
27	80	2787
28	83	2782
29	85	2770
30	88	2766
31	91	2759
32	94	2762
33	96	2754
34	99	2743
35	102	2733
36	104	2723
37	107	2718
38	110	2713
39	112	2704
40	115	2693
41	117	2684
42	120	2678
43	123	2675
44	125	2667
45	128	2660
46	131	2660
47	134	2664
48	137	2667
49	139	2659
50	142	2652
51	145	2648
52	147	2641
53	150	2641
54	153	2633
55	155	2626
56	158	2617
57	160	2610
58	163	2602
59	166	2601
60	168	2599
61	171	2593
62	173	2587
63	176	2584
64	179	2580
65	181	2574
66	184	2569
67	187	2565
68	189	2562
69	192	2556
70	195	2554
71	197	2547
72	200	2541
73	202	2536
74	205	2529
75	207	2523
76	210	2521
77	212	2516
78	215	2511
79	217	2504
80	220	2498
81	222	2495
82	225	2491
83	228	2489
84	230	2485
85	233	2480
86	235	2474
87	238	2472
88	241	2467
89	243	2464
90	246	2458
91	248	2453
92	251	2450
93	254	2448
94	256	2444
95	259	2438
96	261	2433
97	263	2429
98	266	2428
99	269	2427
100	272	2423
101	274	2419
102	277	2414
103	279	2410
104	282	2407
105	284	2403
106	287	2398
107	289	2394
108	292	2390
109	295	2387
110	297	2383
111	300	2380
112	302	2376
113	305	2373
114	308	2370
115	310	2369
116	313	2365
117	315	2358
118	318	2354
119	320	2350
120	323	2348
121	325	2345
122	328	2341
123	330	2337
124	333	2333
125	335	2329
126	338	2328
127	341	2324
128	343	2321
129	346	2318
130	349	2316
131	351	2313
132	354	2312
133	357	2308
134	359	2304
135	362	2301
136	364	2298
137	367	2297
138	370	2295
139	373	2292
140	375	2290
141	378	2287
142	381	2285
143	384	2283
144	386	2279
145	389	2277
146	392	2275
147	394	2273
148	397	2271
149	400	2268
150	405	2280
151	408	2280
152	412	2283
153	415	2282
154	418	2281
155	421	2280
156	424	2280
157	427	2278
158	430	2274
159	433	2273
160	435	2271
161	438	2269
162	441	2266
163	443	2262
164	446	2258
165	448	2254
166	451	2251
167	453	2247
168	456	2244
169	459	2241
170	461	2238
171	464	2234
172	466	2230
173	469	2227
174	471	2224
175	474	2220
176	476	2217
177	479	2213
178	481	2210
179	483	2203
180	486	2200
181	488	2197
182	491	2193
183	493	2190
184	496	2187
185	499	2185
186	501	2182
187	504	2178
188	506	2175
189	509	2170
190	511	2167
191	514	2163
192	516	2160
193	519	2156
194	521	2153
195	524	2150
196	526	2147
197	529	2143
198	531	2140
199	534	2136
200	536	2133
201	539	2132
202	542	2129
203	544	2125
204	547	2123
205	550	2120
206	552	2118
207	555	2115
208	557	2111
209	560	2109
210	563	2105
211	565	2102
212	568	2099
213	570	2096
214	573	2092
215	575	2088
216	577	2085
217	580	2083
218	583	2081
219	586	2078
220	588	2075
221	591	2073
222	594	2070
223	596	2067
224	599	2065
225	602	2064
226	605	2062
227	608	2060
228	611	2057
229	614	2055
230	617	2054
231	619	2051
232	622	2049
233	625	2048
234	628	2045
235	631	2042
236	633	2040
237	636	2037
238	639	2036
239	642	2034
240	645	2031
241	647	2028
242	650	2026
243	653	2024
244	656	2022
245	659	2019
246	661	2017
247	664	2014
248	666	2011
249	669	2008
250	672	2006
251	675	2004
252	677	2001
253	680	1998
254	683	1997
255	686	1994
256	689	1991
257	691	1989
258	694	1987
259	697	1984
260	700	1982
261	702	1979
262	705	1976
263	707	1973
264	710	1971
265	713	1969
266	715	1965
267	718	1962
268	720	1958
269	723	1955
270	725	1952
271	728	1950
272	731	1947
273	733	1944
274	736	1942
275	739	1939
276	742	1937
277	744	1934
278	747	1932
279	750	1929
280	753	1927
281	755	1924
282	758	1921
283	761	1918
284	764	1916
285	766	1913
286	769	1911
287	772	1909
288	775	1906
289	777	1903
290	780	1901
291	782	1897
292	785	1895
293	788	1892
294	790	1889
295	793	1886
296	795	1883
297	798	1880
298	800	1877
299	803	1874
300	805	1871
301	808	1868
302	811	1867
303	814	1865
304	817	1862
305	819	1859
306	822	1856
307	825	1853
308	827	1851
309	830	1847
310	832	1844
311	835	1841
312	837	1838
313	840	1835
314	842	1832
315	845	1829
316	847	1826
317	850	1823
318	852	1820
319	855	1818
320	858	1814
321	860	1812
322	863	1809
323	865	1806
324	868	1803
325	870	1800
326	873	1797
327	875	1794
328	878	1791
329	880	1788
330	883	1785
331	886	1782
332	888	1780
333	891	1777
334	893	1773
335	896	1770
336	898	1768
337	901	1765
338	903	1762
339	906	1759
340	908	1756
341	911	1753
342	913	1750
343	916	1747
344	919	1745
345	921	1742
346	924	1739
347	927	1737
348	929	1734
349	932	1731
350	934	1728
351	937	1725
352	939	1722
353	942	1719
354	944	1716
355	947	1713
356	949	1710
357	951	1707
358	954	1704
359	957	1701
360	959	1698
361	962	1695
362	964	1692
363	967	1689
364	969	1687
365	972	1684
366	974	1681
367	977	1678
368	979	1675
369	982	1672
370	985	1670
371	987	1667
372	989	1664
373	992	1661
374	995	1658
375	997	1656
376	1000	1653
377	1003	1650
378	1005	1648
379	1008	1645
380	1011	1642
381	1014	1640
382	1016	1638
383	1019	1635
384	1022	1632
385	1024	1630
386	1027	1627
387	1030	1624
388	1032	1622
389	1035	1619
390	1038	1617
391	1040	1614
392	1043	1611
393	1046	1608
394	1048	1605
395	1050	1602
396	1053	1600
397	1056	1597
398	1058	1594
399	1061	1591
400	1063	1588
401	1066	1585
402	1068	1582
403	1071	1580
404	1073	1577
405	1076	1574
406	1078	1571
407	1081	1569
408	1084	1566
409	1086	1563
410	1089	1561
411	1091	1558
412	1094	1555
413	1096	1552
414	1099	1549
415	1101	1546
416	1104	1544
417	1107	1541
418	1109	1538
419	1112	1535
420	1114	1533
421	1117	1530
422	1119	1527
423	1122	1524
424	1125	1522
425	1127	1519
426	1130	1516
427	1132	1513
428	1135	1510
429	1137	1507
430	1140	1505
431	1142	1502
432	1145	1499
433	1148	1497
434	1150	1494
435	1152	1491
436	1155	1488
437	1158	1485
438	1160	1483
439	1163	1480
440	1165	1477
441	1168	1475
442	1170	1472
443	1173	1469
444	1175	1466
445	1178	1463
446	1180	1460
447	1183	1457
448	1185	1454
449	1188	1452
450	1190	1449
451	1193	1447
452	1196	1444
453	1198	1441
454	1201	1439
455	1204	1436
456	1206	1433
457	1208	1430
458	1211	1427
459	1213	1425
460	1216	1422
461	1219	1419
462	1221	1416
463	1224	1413
464	1226	1411
465	1229	1408
466	1231	1405
467	1234	1402
468	1236	1400
469	1239	1397
470	1241	1394
471	1244	1392
472	1247	1389
473	1249	1386
474	1252	1383
475	1254	1381
476	1256	1378
477	1259	1375
478	1262	1372
479	1264	1370
480	1267	1367
481	1269	1364
482	1272	1361
483	1274	1359
484	1277	1356
485	1279	1353
486	1282	1350
487	1284	1348
488	1287	1345
489	1289	1342
490	1292	1339
491	1294	1336
492	1297	1333
493	1299	1331
494	1302	1328
495	1304	1325
496	1306	1322
497	1309	1320
498	1312	1317
499	1314	1314
500	1317	1312
501	1319	1309
502	1322	1306
503	1324	1303
504	1327	1301
505	1330	1298
506	1332	1295
507	1335	1293
508	1337	1290
509	1340	1287
510	1342	1284
511	1345	1282
512	1347	1279
513	1350	1276
514	1352	1274
515	1355	1271
516	1358	1268
517	1360	1266
518	1363	1263
519	1365	1260
520	1368	1257
521	1370	1255
522	1373	1252
523	1375	1249
524	1378	1247
525	1381	1244
526	1383	1241
527	1386	1239
528	1388	1236
529	1391	1233
530	1393	1231
531	1396	1228
532	1398	1225
533	1401	1223
534	1404	1220
535	1406	1217
536	1409	1215
537	1411	1212
538	1414	1209
539	1417	1207
540	1419	1204
541	1422	1201
542	1424	1199
543	1427	1196
544	1429	1193
545	1432	1191
546	1434	1188
547	1437	1185
548	1439	1182
549	1442	1180
550	1444	1177
551	1447	1174
552	1449	1171
553	1452	1169
554	1454	1166
555	1457	1163
556	1459	1161
557	1462	1158
558	1465	1156
559	1467	1153
560	1470	1150
561	1472	1147
562	1475	1145
563	1478	1142
564	1480	1140
565	1483	1137
566	1485	1134
567	1488	1131
568	1490	1129
569	1493	1126
570	1495	1123
571	1498	1121
572	1500	1118
573	1503	1115
574	1505	1113
575	1508	1110
576	1511	1107
577	1513	1105
578	1516	1102
579	1518	1099
580	1521	1097
581	1523	1094
582	1526	1091
583	1528	1088
584	1530	1086
585	1533	1083
586	1536	1081
587	1539	1078
588	1541	1075
589	1543	1072
590	1546	1070
591	1549	1067
592	1551	1065
593	1554	1062
594	1557	1059
595	1559	1057
596	1562	1054
597	1564	1051
598	1567	1049
599	1569	1046
600	1572	1043
601	1574	1041
602	1577	1038
603	1580	1035
604	1582	1033
605	1585	1030
606	1587	1028
607	1590	1025
608	1593	1022
609	1595	1020
610	1598	1017
611	1601	1015
612	1603	1012
613	1606	1009
614	1609	1007
615	1611	1004
616	1614	1002
617	1616	999
618	1619	996
619	1621	994
620	1624	991
621	1626	988
622	1629	986
623	1632	983
624	1634	980
625	1637	978
626	1639	975
627	1642	972
628	1644	970
629	1647	967
630	1650	964
631	1652	962
632	1655	959
633	1657	957
634	1660	954
635	1663	951
636	1665	949
637	1668	946
638	1670	944
639	1673	941
640	1675	938
641	1678	935
642	1680	933
643	1683	930
644	1685	927
645	1688	925
646	1690	922
647	1693	919
648	1696	917
649	1698	914
650	1701	911
651	1703	909
652	1706	906
653	1708	903
654	1711	901
655	1713	898
656	1716	896
657	1718	893
658	1721	890
659	1724	888
660	1726	885
661	1729	882
662	1731	880
663	1733	877
664	1736	874
665	1739	872
666	1742	869
667	1744	867
668	1747	864
669	1749	861
670	1752	859
671	1755	856
672	1757	853
673	1760	851
674	1762	848
675	1765	846
676	1767	843
677	1770	840
678	1772	838
679	1775	835
680	1777	832
681	1780	830
682	1783	827
683	1785	824
684	1788	822
685	1791	819
686	1793	817
687	1796	814
688	1798	811
689	1801	809
690	1804	806
691	1806	804
692	1809	801
693	1811	798
694	1814	796
695	1816	793
696	1819	790
697	1821	788
698	1824	785
699	1827	783
700	1829	780
701	1832	777
702	1835	775
703	1837	772
704	1840	770
705	1842	767
706	1845	764
707	1848	762
708	1850	759
709	1853	757
710	1855	754
711	1858	751
712	1860	749
713	1863	746
714	1866	744
715	1869	741
716	1872	738
717	1874	736
718	1877	733
719	1879	730
720	1882	728
721	1885	725
722	1887	723
723	1890	720
724	1893	718
725	1895	715
726	1898	712
727	1901	710
728	1903	707
729	1906	704
730	1908	702
731	1911	699
732	1913	697
733	1916	694
734	1918	691
735	1921	689
736	1923	686
737	1926	683
738	1929	681
739	1931	678
740	1934	676
741	1937	673
742	1939	671
743	1942	668
744	1944	665
745	1947	663
746	1950	660
747	1952	657
748	1955	655
749	1957	652
750	1960	649
751	1963	647
752	1965	644
753	1968	642
754	1971	639
755	1973	636
756	1976	634
757	1978	631
758	1981	629
759	1983	626
760	1986	623
761	1988	621
762	1991	618
763	1994	615
764	1996	613
765	1999	610
766	2001	608
767	2004	605
768	2006	602
769	2009	600
770	2012	597
771	2014	594
772	2017	592
773	2019	589
774	2021	587
775	2024	584
776	2027	581
777	2029	579
778	2032	576
779	2034	573
780	2037	571
781	2040	568
782	2042	566
783	2045	563
784	2047	560
785	2050	558
786	2053	555
787	2055	553
788	2058	550
789	2060	547
790	2063	545
791	2066	542
792	2068	540
793	2071	537
794	2073	534
795	2076	532
796	2079	529
797	2081	526
798	2084	524
799	2086	521
800	2089	519
801	2091	516
802	2094	513
803	2096	511
804	2099	508
805	2102	505
806	2104	503
807	2107	500
808	2109	498
809	2112	495
810	2115	492
811	2117	490
812	2120	487
813	2123	485
814	2126	482
815	2128	479
816	2131	477
817	2133	474
818	2136	472
819	2138	469
820	2141	466
821	2144	464
822	2146	461
823	2149	459
824	2151	456
825	2154	453
826	2157	451
827	2159	448
828	2162	445
829	2164	443
830	2167	440
831	2169	438
832	2172	435
833	2174	432
834	2177	430
835	2179	427
836	2182	425
837	2185	422
838	2187	419
839	2190	417
840	2192	414
841	2195	411
842	2198	409
843	2200	406
844	2203	404
845	2205	401
846	2208	398
847	2210	396
848	2213	393
849	2215	391
850	2218	388
851	2220	385
852	2223	383
853	2226	380
854	2228	377
855	2231	375
856	2233	372
857	2236	370
858	2238	367
859	2241	364
860	2244	362
861	2246	359
862	2249	357
863	2251	354
864	2254	351
865	2256	349
866	2259	346
867	2262	343
868	2264	341
869	2267	338
870	2269	336
871	2272	333
872	2275	330
873	2277	328
874	2280	325
875	2282	323
876	2285	320
877	2287	317
878	2290	315
879	2293	312
880	2295	310
881	2298	307
882	2300	304
883	2303	302
884	2306	299
885	2308	297
886	2311	294
887	2314	291
888	2316	289
889	2319	286
890	2321	284
891	2324	281
892	2326	278
893	2329	276
894	2331	273
895	2334	270
896	2336	268
897	2339	265
898	2342	263
899	2344	260
900	2346	257
901	2349	255
902	2352	252
903	2354	250
904	2356	247
905	2359	244
906	2362	242
907	2364	239
908	2367	236
909	2369	234
910	2372	231
911	2374	229
912	2377	226
913	2380	223
914	2382	221
915	2385	218
916	2387	216
917	2390	213
918	2393	210
919	2395	208
920	2398	205
921	2400	203
922	2403	200
923	2405	197
924	2408	195
925	2410	192
926	2413	190
927	2415	187
928	2418	184
929	2421	182
930	2423	179
931	2426	177
932	2428	174
933	2430	171
934	2433	169
935	2436	166
936	2438	163
937	2441	161
938	2443	158
939	2446	156
940	2448	153
941	2451	150
942	2454	148
943	2457	145
944	2459	143
945	2462	140
946	2465	137
947	2467	135
948	2470	132
949	2472	130
950	2475	127
951	2477	124
952	2480	122
953	2483	119
954	2485	117
955	2488	114
956	2491	111
957	2494	109
958	2496	106
959	2499	104
960	2502	101
961	2504	98
962	2507	96
963	2509	93
964	2512	91
965	2514	88
966	2517	85
967	2520	83
968	2522	80
969	2525	78
970	2527	75
971	2530	72
972	2532	70
973	2535	67
974	2538	65
975	2540	62
976	2543	59
977	2545	57
978	2548	54
979	2551	52
980	2553	49
981	2556	46
982	2559	44
983	2562	41
984	2565	39
985	2568	36
986	2571	33
987	2573	31
988	2576	28
989	2579	26
990	2581	23
991	2584	20
992	2587	18
993	2590	15
994	2592	13
995	2595	10
996	2598	7
997	2601	5
998	2603	2
999	2606	0
